# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_ch0_neuron0,	33.7061
_ch0_neuron0,	33.7150
_ch0_neuron0,	33.7329
_ch0_neuron0,	33.7505
_ch0_neuron0,	33.7639
_ch0_neuron0,	33.8339
_ch0_neuron0,	33.8658
_ch0_neuron0,	33.8857
_ch0_neuron0,	33.9316
_ch0_neuron0,	33.9600
_ch0_neuron0,	33.9682
_ch0_neuron0,	34.0017
_ch0_neuron0,	34.0350
_ch0_neuron0,	34.6005
_ch0_neuron0,	34.6061
_ch0_neuron0,	34.6247
_ch0_neuron0,	34.6816
_ch0_neuron0,	34.6925
_ch0_neuron0,	34.7064
_ch0_neuron0,	34.7252
_ch0_neuron0,	34.7342
_ch0_neuron0,	34.7859
_ch0_neuron0,	34.7967
_ch0_neuron0,	34.8130
_ch0_neuron0,	34.8200
_ch0_neuron0,	34.8691
_ch0_neuron0,	34.8913
_ch0_neuron0,	34.9153
_ch0_neuron0,	34.9360
_ch0_neuron0,	34.9528
_ch0_neuron0,	34.9721
_ch0_neuron0,	34.9827
_ch0_neuron0,	35.0124
_ch0_neuron0,	35.1605
_ch0_neuron0,	35.2178
_ch0_neuron0,	35.2275
_ch0_neuron0,	35.2369
_ch0_neuron0,	35.2450
_ch0_neuron0,	35.2534
_ch0_neuron0,	35.2788
_ch0_neuron0,	35.3109
_ch0_neuron0,	35.3233
_ch0_neuron0,	35.3322
_ch0_neuron0,	35.3617
_ch0_neuron0,	35.3698
_ch0_neuron0,	35.3787
_ch0_neuron0,	35.4039
_ch0_neuron0,	35.4136
_ch0_neuron0,	35.4224
_ch0_neuron0,	35.4297
_ch0_neuron0,	35.4402
_ch0_neuron0,	35.4768
_ch0_neuron0,	35.4960
_ch0_neuron0,	35.5194
_ch0_neuron0,	35.5454
_ch0_neuron0,	35.6015
_ch0_neuron0,	35.6156
_ch0_neuron0,	35.6279
_ch0_neuron0,	35.6399
_ch0_neuron0,	35.6470
_ch0_neuron0,	35.6532
_ch0_neuron0,	35.6802
_ch0_neuron0,	35.6882
_ch0_neuron0,	35.6967
_ch0_neuron0,	35.7036
_ch0_neuron0,	35.7182
_ch0_neuron0,	35.7339
_ch0_neuron0,	35.7442
_ch0_neuron0,	35.7684
_ch0_neuron0,	35.8020
_ch0_neuron0,	35.8152
_ch0_neuron0,	35.8475
_ch0_neuron0,	35.9055
_ch0_neuron0,	35.9339
_ch0_neuron0,	35.9560
_ch0_neuron0,	35.9646
_ch0_neuron0,	35.9889
_ch0_neuron0,	36.4247
_ch0_neuron0,	36.7112
_ch0_neuron0,	36.7477
_ch0_neuron0,	36.7925
_ch0_neuron0,	36.8090
_ch0_neuron0,	36.8182
_ch0_neuron0,	36.8551
_ch0_neuron0,	36.8713
_ch0_neuron0,	36.8889
_ch0_neuron0,	36.8983
_ch0_neuron0,	36.9077
_ch0_neuron0,	36.9261
_ch0_neuron0,	36.9675
_ch0_neuron0,	36.9816
_ch0_neuron0,	36.9945
_ch0_neuron0,	37.0058
_ch0_neuron0,	37.0183
_ch0_neuron0,	37.0351
_ch0_neuron0,	37.0438
_ch0_neuron0,	37.0489
_ch0_neuron0,	37.0784
_ch0_neuron0,	37.1059
_ch0_neuron0,	37.1188
_ch0_neuron0,	37.1311
_ch0_neuron0,	37.1460
_ch0_neuron0,	37.1620
_ch0_neuron0,	37.1812
_ch0_neuron0,	37.1897
_ch0_neuron0,	37.1975
_ch0_neuron0,	37.2188
_ch0_neuron0,	37.2310
_ch0_neuron0,	37.2564
_ch0_neuron0,	37.2697
_ch0_neuron0,	37.2815
_ch0_neuron0,	37.2944
_ch0_neuron0,	37.3074
_ch0_neuron0,	37.3224
_ch0_neuron0,	37.3428
_ch0_neuron0,	37.3707
_ch0_neuron0,	37.3935
_ch0_neuron0,	37.4067
_ch0_neuron0,	37.4196
_ch0_neuron0,	37.4320
_ch0_neuron0,	37.4589
_ch0_neuron0,	37.5090
_ch0_neuron0,	37.5318
_ch0_neuron0,	37.5476
_ch0_neuron0,	37.5585
_ch0_neuron0,	37.5713
_ch0_neuron0,	37.5917
_ch0_neuron0,	37.6187
_ch0_neuron0,	37.6332
_ch0_neuron0,	37.6421
_ch0_neuron0,	37.6524
_ch0_neuron0,	37.6877
_ch0_neuron0,	37.7015
_ch0_neuron0,	37.7127
_ch0_neuron0,	37.7580
_ch0_neuron0,	37.7697
_ch0_neuron0,	37.7837
_ch0_neuron0,	37.8089
_ch0_neuron0,	37.8263
_ch0_neuron0,	37.8430
_ch0_neuron0,	37.8596
_ch0_neuron0,	37.8989
_ch0_neuron0,	37.9355
_ch0_neuron0,	37.9468
_ch0_neuron0,	38.0156
_ch0_neuron0,	38.0306
_ch0_neuron0,	38.0700
_ch0_neuron0,	38.7506
_ch0_neuron0,	38.7729
_ch0_neuron0,	38.8824
_ch0_neuron0,	39.1571
_ch0_neuron0,	39.1722
_ch0_neuron0,	39.2358
_ch0_neuron0,	39.2521
_ch0_neuron0,	39.2652
_ch0_neuron0,	39.2743
_ch0_neuron0,	39.2831
_ch0_neuron0,	39.2906
_ch0_neuron0,	39.3040
_ch0_neuron0,	39.3112
_ch0_neuron0,	39.3191
_ch0_neuron0,	39.3282
_ch0_neuron0,	39.3491
_ch0_neuron0,	39.3613
_ch0_neuron0,	39.3922
_ch0_neuron0,	39.4031
_ch0_neuron0,	39.4125
_ch0_neuron0,	39.4217
_ch0_neuron0,	39.4325
_ch0_neuron0,	39.4424
_ch0_neuron0,	39.4530
_ch0_neuron0,	39.4629
_ch0_neuron0,	39.4946
_ch0_neuron0,	39.5204
_ch0_neuron0,	39.5443
_ch0_neuron0,	39.5601
_ch0_neuron0,	39.5739
_ch0_neuron0,	39.5853
_ch0_neuron0,	39.6308
_ch0_neuron0,	39.6426
_ch0_neuron0,	39.6523
_ch0_neuron0,	39.7132
_ch0_neuron0,	39.7339
_ch0_neuron0,	39.7524
_ch0_neuron0,	39.8341
_ch0_neuron0,	39.9633
_ch0_neuron0,	40.0058
_neuron0threshhig-2288,	0.0000
_neuron0threshlow-4910,	0.0000
